flow,total_fiat,total_biat,min_fiat,min_biat,max_fiat,max_biat,mean_fiat,mean_biat,std_fiat,std_biat,feduration,total_fpackets,total_bpackets,total_fpktl,total_bpktl,min_fpktl,min_bpktl,max_fpktl,max_bpktl,mean_fpktl,mean_bpktl,std_fpktl,std_bpktl,avgPacketSize,fPktsPerSecond,bPktsPerSecond,flowPktsPerSecond,flowBytesPerSecond,label
192.168.140.130:52048<->192.168.140.2:53,0,0,1649879298.234818,0,1649879298.234818,1649879298.234818,0.0,0.0,0.0,0.0,0.019051,1,1,72,88,72,88,72,88,72.0,88.0,0.0,0.0,80.0,52.49068290378457823736286809,52.49068290378457823736286809,104.9813658075691564747257362,8398.509264605532517978058895,Win7_Yandex
192.168.140.130:50601<->77.88.21.179:443,2.900548,2.887006,0.000111,0.000000,2.827874,2.827874,0.3625685,0.3207784444444444,0.9962054740950067,0.9407509932119539,2.900548,9,10,791,5359,54,60,254,1514,87.88888888888889,535.9,69.33333333333333,678.4794191589176,323.6842105263158,3.102861941950279740242188717,3.447624379944755266935765242,6.550486321895035007177953959,2120.288993666024489165495624,Win7_Yandex
192.168.140.130:50602<->5.255.255.88:443,2.722407,2.704626,0.000047,0.000000,1.344952,1.344952,0.0907469,0.029721164835164838,0.27884977981817527,0.16793691441631442,2.722407,31,92,16634,99057,54,60,6936,1514,536.5806451612904,1076.7065217391305,1541.3870544457366,626.9428446887723,940.5772357723578,11.38698218157681786742393771,33.79362453887313689687104096,45.18060672044995476429497867,42495.85017963882696452073478,Win7_Yandex
192.168.140.130:50603<->213.180.204.194:443,2.102765,2.088624,0.000080,0.000000,1.840361,1.840361,0.1501975,0.10443119999999999,0.4886991822534516,0.40969438732067487,2.102765,15,21,4345,6571,54,60,2837,1514,289.6666666666667,312.9047619047619,710.5843336565305,509.08436479250713,303.22222222222223,7.133464747606128121782510171,9.986850646648579370495514240,17.12031539425470749227802441,5191.260078991232971825192069,Win7_Yandex
192.168.140.130:63536<->192.168.140.2:53,0,0,1649879299.716498,0,1649879299.716498,1649879299.716498,0.0,0.0,0.0,0.0,0.057878,1,1,78,94,78,94,78,94,78.0,94.0,0.0,0.0,86.0,17.27772210511766128753585127,17.27772210511766128753585127,34.55544421023532257507170255,2971.768202080237741456166419,Win7_Yandex
192.168.140.130:61253<->192.168.140.2:53,0,0,1649879299.731075,0,1649879299.731075,1649879299.731075,0.0,0.0,0.0,0.0,0.010598,1,1,72,152,72,152,72,152,72.0,152.0,0.0,0.0,112.0,94.35742592942064540479335724,94.35742592942064540479335724,188.7148518588412908095867145,21136.06340819022457067371202,Win7_Yandex
192.168.140.130:50604<->213.180.204.90:443,1.423365,1.414758,0.000040,0.000000,1.349951,1.349951,0.12939681818181817,0.10105414285714286,0.40489303870795756,0.35974055210940287,1.423365,12,15,1401,5975,54,60,375,1514,116.75,398.3333333333333,101.39582652340103,578.1305668972644,273.18518518518516,8.430725780105594840395822575,10.53840722513199355049477822,18.96913300523758839089060079,5182.086112838238961896632276,Win7_Yandex
192.168.140.130:50605<->188.114.98.128:443,2.681841,2.630568,0.000111,0.000000,2.381022,2.381022,0.335230125,0.2922853333333333,0.8292961963760833,0.7864877670827118,2.681841,9,10,797,5315,54,60,260,1514,88.55555555555556,531.5,71.13562945372578,682.1650582276013,321.6842105263158,3.355903649768946033713408066,3.728781833076606704126008962,7.084685482845552737839417027,2279.031456376422017561816677,Win7_Yandex
192.168.140.130:50606<->213.180.204.90:443,0.667424,0.660761,0.000098,0.000000,0.327550,0.327550,0.041714,0.03303805,0.08320211117994543,0.07602412029396363,0.667424,17,21,3054,6513,54,60,946,1514,179.64705882352942,310.14285714285717,230.6187170354107,506.07818424767987,251.76315789473685,25.47106487030733087212926116,31.46425660449729107733614614,56.93532147480462194946540730,14334.21633024883732080356715,Win7_Yandex
192.168.140.130:50607<->213.180.193.234:443,0.655529,0.640900,0.000171,0.000001,0.309641,0.309641,0.05462741666666667,0.04005625,0.08918648778767732,0.0784681331186956,0.655529,13,17,1524,6612,54,60,305,1514,117.23076923076923,388.94117647058823,86.04083705442224,549.1816036827248,271.2,19.83131181076657173061756230,25.93325390638705534003835071,45.76456571715362707065591301,12411.35022249206366156188361,Win7_Yandex
192.168.140.130:50608<->5.255.255.88:443,1.434069,1.423128,0.000600,0.000000,0.258180,0.258180,0.046260290322580645,0.01599020224719101,0.0751145384605819,0.048771461624643624,1.434069,32,90,25707,83727,54,60,7009,1514,803.34375,930.3,1895.0793090795996,664.9031601365349,897.0,22.31412853914281669849916566,62.75848651633917196452890342,85.07261505548198866302806908,76310.13570476734383073617797,Win7_Yandex
192.168.140.130:50609<->87.250.247.183:443,0.079807,0.067985,0.000531,0.000000,0.026728,0.026728,0.008867444444444445,0.003999117647058824,0.00795604649168026,0.006748177938176655,0.079807,10,18,1365,13943,54,60,433,1514,136.5,774.6111111111111,124.08084282255483,695.0807095657723,546.7142857142857,125.3022917789166363852794868,225.5441252020499454935030762,350.8464169809665818787825629,191812.7482551655869785858383,Win7_Yandex
192.168.140.130:50610<->213.180.204.36:443,0.115189,0.103090,0.003993,0.000000,0.044302,0.044302,0.019198166666666665,0.01288625,0.01584887636921516,0.013363076204334731,0.115189,7,9,1253,5507,54,60,618,1514,179.0,611.8888888888889,208.1465829649865,649.1171782591423,422.5,60.76969155040845914106381686,78.13246056481087603851062167,138.9021521152193351795744385,58686.15926868016911337020028,Win7_Yandex
192.168.140.130:50611<->93.158.134.119:443,1.595195,1.600387,0.000141,0.000000,1.343937,1.343937,0.0996996875,0.06668279166666667,0.3324311073756924,0.272870074913825,1.615487,17,25,5906,7145,54,60,1779,1514,347.4117647058824,285.8,460.1719867103398,459.9490913858475,310.73809523809524,10.52314255701221984454223401,15.47520964266502918315034414,25.99835219967724902769257815,8078.678441856851834771805654,Win7_Yandex
192.168.140.130:50612<->213.180.204.90:443,1.154228,1.144608,0.000131,0.000000,0.670123,0.670123,0.0577114,0.04402338461538462,0.14770009206190338,0.13088808407248598,1.155828,21,27,4674,7105,54,60,947,1514,222.57142857142858,263.14814814814815,220.44037094610673,453.5996798011099,245.39583333333334,18.16879328066113643206428638,23.35987707513574684122551106,41.52867035579688327328979744,10190.96266918607266825167759,Win7_Yandex
192.168.140.130:50613<->93.158.134.242:443,0.061288,0.050207,0.001869,0.000000,0.025887,0.025887,0.010214666666666667,0.005578555555555555,0.009841122388562528,0.008056272371747232,0.061288,7,10,1564,5504,54,60,938,1514,223.42857142857142,550.4,323.5520860401805,670.0346923024873,415.7647058823529,114.2148544576426054039942566,163.1640777966322934342775095,277.3789322542748988382717661,115324.3701866597049993473437,Win7_Yandex
192.168.140.130:50803<->192.168.140.2:53,0,0,1649879301.858967,0,1649879301.858967,1649879301.858967,0.0,0.0,0.0,0.0,0.010192,1,1,82,98,82,98,82,98,82.0,98.0,0.0,0.0,90.0,98.11616954474097331240188383,98.11616954474097331240188383,196.2323390894819466248037677,17660.91051805337519623233909,Win7_Yandex
192.168.140.130:50614<->213.180.204.158:443,0.061553,0.051765,0.000147,0.000000,0.015312,0.015312,0.005129416666666667,0.00184875,0.005584373497184856,0.004002036802031537,0.061553,13,29,1536,31373,54,60,442,1514,118.15384615384616,1081.8275862068965,115.47932437875775,623.7824751904143,783.547619047619,211.2001039754358032914723896,471.1386934836644842655922538,682.3387974591002875570646435,534644.9401328936038860819131,Win7_Yandex
